osm_id,lat,lon,levels,height_tag,building_type,area_m2,perimeter_m,compactness,rectangularity,elongation,long_side_m,short_side_m,n_vertices,has_name,dsm_height_m
169827684,12.974864,77.61754,5,,commercial,3438.7,289.1,0.5171,0.7933,0.4234,101.2,42.8,38,0,
169827689,12.97433,77.609902,3,,commercial,2963.2,244.5,0.6229,0.7794,0.9462,63.4,60.0,19,1,
170199732,13.010592,77.570818,8,,commercial,826.9,126.1,0.6536,0.9971,0.4176,44.6,18.6,4,1,
171068798,12.975389,77.725706,5,,commercial,2385.7,197.7,0.7669,0.9898,0.7844,55.4,43.5,8,1,
172883281,12.947496,77.622191,7,,residential,7098.1,407.5,0.5372,0.9478,0.6041,111.3,67.3,12,1,
172883283,12.946869,77.622661,7,,residential,7097.9,407.5,0.5372,0.9479,0.6041,111.3,67.3,12,1,
172883290,12.946808,77.621028,7,,residential,6905.1,404.0,0.5316,0.9467,0.5885,111.3,65.5,12,1,
172883291,12.946209,77.623097,7,,residential,7098.0,407.5,0.5372,0.9479,0.6041,111.3,67.3,12,1,
172883313,12.946079,77.621367,7,,residential,6400.7,353.6,0.6432,0.8692,0.6005,110.7,66.5,8,1,
172899621,12.928847,77.591293,7,,commercial,2098.8,182.6,0.7909,0.9766,0.9,48.9,44.0,5,0,
173435206,12.974218,77.615701,12,,commercial,1807.7,250.0,0.3634,0.4808,0.5037,86.4,43.5,17,0,
173435207,12.974834,77.616833,4,,commercial,4303.5,385.4,0.3641,0.6354,0.8754,88.0,77.0,15,0,
173435208,12.974424,77.619238,4,,commercial,1520.2,157.5,0.7697,0.9984,0.751,45.0,33.8,4,0,
173435209,12.973529,77.61702,4,,commercial,1069.5,187.2,0.3836,0.8592,0.1944,80.0,15.6,18,0,
173435217,12.973912,77.617403,6,,commercial,2505.2,205.7,0.7443,0.9631,0.7697,58.1,44.7,10,0,
173435218,12.973667,77.615506,4,,commercial,903.4,135.7,0.6169,0.6279,0.7978,42.5,33.9,12,0,
173435219,12.973494,77.616488,8,,commercial,999.0,130.9,0.7324,0.9307,0.9945,32.9,32.7,6,0,
